business_name,category,city,website,phone,email,score,ai_score,ai_priority,ai_summary
دار الجلد Dar El Jeld,restaurant,Tunis,https://www.dareljeld.com/en/gastronomy/,+216 71 560 916,dar.eljeld@gnet.tn,100,100,High,دار الجلد Dar El Jeld has a digital presence score of 100/100 and is classified as High priority.
فيلا 78,restaurant,Tunis,http://www.villa78tunis.com/,+216 71 840 589,info@villa78tunis.com,100,100,High,فيلا 78 has a digital presence score of 100/100 and is classified as High priority.
Le Bambou cuisine asiatique,restaurant,Tunis,https://www.facebook.com/lebamboucuisineasiatique/,+216 70 831 534;+216 23 690 602,,80,80,High,Le Bambou cuisine asiatique has a digital presence score of 80/100 and is classified as High priority.
السلطان أحمد,restaurant,Tunis,https://www.sultanahmet.tn/,+216 71 888 722,contact@sultanahmet.tn,100,100,High,السلطان أحمد has a digital presence score of 100/100 and is classified as High priority.
Munchies,restaurant,Tunis,https://www.munchiestunis.com/,+216 56 166 666,,80,80,High,Munchies has a digital presence score of 80/100 and is classified as High priority.
Fondouk El Attarine,restaurant,Tunis,http://www.fondoukelattarine.com,+216 71 322 244,,80,80,High,Fondouk El Attarine has a digital presence score of 80/100 and is classified as High priority.
Gourmandise,restaurant,Tunis,https://www.gourmandise.com.tn/,,,50,50,Medium,Gourmandise has a digital presence score of 50/100 and is classified as Medium priority.
Insomnia,restaurant,Tunis,https://iloveinsomnia.com/,+216 71 829 641,,80,80,High,Insomnia has a digital presence score of 80/100 and is classified as High priority.
Route 66 menzah 6,restaurant,Tunis,http://www.facebook.com/R66menzah,+216 96 966 666,,80,80,High,Route 66 menzah 6 has a digital presence score of 80/100 and is classified as High priority.
Route 66 Ben Arous,restaurant,Tunis,http://www.facebook.com/route66benarous,+216 20 986 182,,80,80,High,Route 66 Ben Arous has a digital presence score of 80/100 and is classified as High priority.
Le Capitole,restaurant,Tunis,,,,0,0,Low,Le Capitole has a digital presence score of 0/100 and is classified as Low priority.
أليسا,restaurant,Tunis,,,,0,0,Low,أليسا has a digital presence score of 0/100 and is classified as Low priority.
لا بوتيغا,restaurant,Tunis,,,,0,0,Low,لا بوتيغا has a digital presence score of 0/100 and is classified as Low priority.
Parad'Ice Plaza,restaurant,Tunis,,,,0,0,Low,Parad'Ice Plaza has a digital presence score of 0/100 and is classified as Low priority.
غرين سنتر,restaurant,Tunis,,,,0,0,Low,غرين سنتر has a digital presence score of 0/100 and is classified as Low priority.
بيوا,restaurant,Tunis,,,,0,0,Low,بيوا has a digital presence score of 0/100 and is classified as Low priority.
Restaurant Côte d'Or,restaurant,Tunis,,+216 20 665 212,,30,30,Low,Restaurant Côte d'Or has a digital presence score of 30/100 and is classified as Low priority.
Steak Haus,restaurant,Tunis,,,,0,0,Low,Steak Haus has a digital presence score of 0/100 and is classified as Low priority.
Mabillon,restaurant,Tunis,,,,0,0,Low,Mabillon has a digital presence score of 0/100 and is classified as Low priority.
