name,category,city,lat,lon,website,phone,digital_status
Le Capitole,restaurant,Tunis,36.7994588,10.1818931,,,WEAK
أليسا,restaurant,Tunis,36.8350414,10.1486521,,,WEAK
لا بوتيغا,restaurant,Tunis,36.7683671,10.2376383,,,WEAK
Parad'Ice Plaza,restaurant,Tunis,36.8314844,10.222763,,,WEAK
غرين سنتر,restaurant,Tunis,36.8322172,10.2316947,,,WEAK
بيوا,restaurant,Tunis,36.8320087,10.2350777,,,WEAK
Restaurant Côte d'Or,restaurant,Tunis,36.8314666,10.2316604,,+216 20 665 212,WEAK
Steak Haus,restaurant,Tunis,36.8024064,10.1823039,,,WEAK
Mabillon,restaurant,Tunis,36.8440923,10.156152,,,WEAK
Pizza Jazz,restaurant,Tunis,36.7676573,10.2413623,,,WEAK
The House,restaurant,Tunis,36.835735,10.158994,,,WEAK
هوليوود,restaurant,Tunis,36.8363224,10.1593084,,,WEAK
شيليز,restaurant,Tunis,36.8370026,10.1616095,,,WEAK
Route 66 Megrine,restaurant,Tunis,36.76777,10.2423975,,,WEAK
,restaurant,Tunis,36.840075,10.247731,,,WEAK
إيرك قيصر,restaurant,Tunis,36.8357105,10.2418213,,,WEAK
الجوهرة الزرقاء,restaurant,Tunis,36.831852,10.2344153,,,WEAK
Aqua lounge,restaurant,Tunis,36.8351156,10.2455822,,,WEAK
El Baboucha,restaurant,Tunis,36.8350383,10.2452657,,,WEAK
